Comment
Honestamente no me gusto y soy fan ✋️🙂‍↕️
Deadpool and wolverine going on a family friendly adventure together to learn the power of friendship
"I’m glad to see more mcu stuff being incorporated into their more ‘standalone’ movies, like the tva."
Deadpool and wolverine<br>The saviors of the MCU multiverse
I hope Hulk is in this
What does LFG mean?
So we all see the X-men characters from all da movies in from of the gaint man helmet
"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=96"">1:36</a> His Killing Tva Agents with an Stick😭😭😂"
I&#39;m gonna pirate this so hard.
Is that the ant man&#39;s head 😢
جميل جدا
جميل
جميل جدا ورائع ❤
جميل جدا فلم رائع للمتابعه في سهرت المساء
I liked this movie so much
DP3&#39;s gonna pass $1B for sure. I&#39;m so hyped.
What happened to the funny guy with the glasses?
Now let&#39;s watch it again at .25x speed
As marvel entertainment fan <br><br>All because iron man started this I mean 2008 to 2024? Wow I old.
Doctor strange with the portal ?
"extraordinaria, asombrosa,"
They said a swear word.
Stopped on the second one
another flop
WE FINALLY HAVE WOLVERINE IN HIS SUIT BUT WITHOUT THE MASK?!?!!!!🤬
I better not die before I get to see this lolol
&quot;Liefeld&#39;s Just Feet&quot; 🤣🤣💀
Bro is about to Revive the entire MCU like 90&#39;s
"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=122"">2:02</a>"
Welcome back Wolverine 🎉❤
"Aight, I give up; articles are all about Hemsworth not knowing he was in this trailer. Where is he?"
Q: Are there 2 versions of the TVA in this movie? <br>The group that&#39;s working with Deadpool vs the ones that tried to prune him?
"I had a thought, about in the end credits cutscene. I want Deadpool to release a friend turned rat into Scott Langs van. That&#39;d be cool lol"
"LFG, secret buy BTC signal <a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a>"
I am soaking wet right now 😂
Okay!... so In deadpool 4 i want to see spiderman
Deadpool : Let&#39;s f*<b>**</b> go!<br><br>Wolverine : Let&#39;s f*<b>**</b> go!<br><br>The fans : Let&#39;s f*<b>**</b> go!
"They absolutely better make some meta reference to X-Men Origins Wolverine&#39;s Deadpool again, I know they&#39;ve already done it, but now we have Hugh Jackman facing off against another Deadpool."
Who has watched this more than once
I&#39;m also looking forward to  all the fourth wall breaking that Deadpool is known for lol 😂
"We&#39;ve all been waiting for this! 🦾🔥 The Wolverine &amp; Deadpool team-up we deserve, unlike that 2009 travesty! Even Ryan Reynolds and Deadpool couldn&#39;t stand it lol. 😂 This third movie looks absolutely riveting and hilarious! 🎬 Can&#39;t wait to catch it in theaters when it drops this July! 🍿"
Wolverine &amp; Deadpool in Original Timeline: enemies⚔️💀<br><br>Wolverine &amp; Deadpool in Alternate Timeline: team up🗡️🤝
LFG!!!!!
&lt;3 remember these?
I really hope its not all comedy but a little serious like the trailer
Am suggesting to stop doing more than one trailer unless u wants us to watch the last three minutes of the movie in theater&#39;s
Anyone else wonder at the end of the movie a suspicious box is given to Wade with a note saying welcome to the MCU and happy birthday from Kevin F.  And in the box is a huge brick of cocaine?😂
I’m happy that Wolverine is back. Even tho his story was finished (I know this is a different Wolverine).
Congratulations
THE STORE IS NAMES LIEFIELD&quot;S
That &quot;U were the X Men&quot; 💕
That X24 was nothing infront of this prime Wolverine.
aint no way sissy marvel used the f bomb
Looks awful. This makes me so sad.
"I’m gonna go ahead and say it, I like the wolverine without any shoulder pads and sleeves, I don’t think it would look badass to me plus the shoulder pads with no sleeves is comic accurate yes but I bet wolverine didn’t like them and it just kinda looks better"
We haven’t been this ready since Endgame. Let’s Fkn Go!!!
the movie is yet to be rated 😂
YEEEEEES!!!!
Isn&#39;t Deadpool somehow related to Wolverine now that he has his DNA in him?? I was gonna say his son but obviously Wade Wilson&#39;s father was not Logan
Madonna 🔥🔥🔥🔥🔥
I legit might be more excited for this fuckin movie than any other movie EVER!!
Is to be the highest-grossing movie of 2024!
Hugh Jackman seems to look better as Wolverine as he gets older.
"When are they gonna introduce my favorite villain, Stryfe, or Omega Red, T-Ray and Mr. Sinister?"
2024 the mutant&#39;s year for sure
Let&#39;s f go im there
LFG!
"Let’s $&amp;,king go!!!!! Ryan/Huge ftw! Thank you Kevin!!!!!!"
Looks lame. Hope it&#39;s better than why they seem to be teasing
"I&#39;m not worried about this one but not gonna spend money on it I&#39;ll wait until it&#39;s on the internet, i can&#39;t trust Marvel or Disney<br>What I&#39;m worried about maybe not worried I&#39;m used to it right now, does anyone know how many bad movies and TV shows we&#39;ll be stuck with until the next good watchable movie 😂"
BRUCE WAYNE AND JAMES GORDON 2024<br>1. BRUCE WAYNE 2001 AGE:23<br>2. JAMES GORDON 1978 AGE:46<br>LIKE A PRAYER PERFORMED BY MADONNA
DEADPOOL &amp; WOLVERINE 2024<br>1. WADE WILSON/DEADPOOL 1976 AGE:48<br>2. JAMES HOWLETT/WOLVERINE 1968 AGE:56
lame
"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=97"">1:37</a>"
was that a metal bender from fortnite? both these guys are from fortnite 😳
😅 I&#39;m making a superhero movie but I truly need your help marvel please help me I&#39;m form South Africa
Is this the same bar where he told Prof X and Magneto to go f*ck themselves?
"It&#39;s bad when you have to use the search term official, to get past all the click bait fan edits."
"Dubbing me hagna mat kehna band kar Diya to firse ghatiya dubbing chalu kar dia , kitni baar bolna padega re , dubbing me hagna mat. Dubbing kahi ka bhi ho , koi kitna bhi popular kyun na ho , ek pro level dubbing Hindi me mangta."
Al with the cocaine jokes.  Timeless.
Wolverine was always thy XMan
Why is he not wearing his mask 😭😭😭
